Letter    Frequency    HuffmanCode
  e        11.06%        011            
  t        8.95 %        000            
  o        8.80 %        1110           
  a        7.20 %        1100           
  s        7.20 %        1011           
  n        6.89 %        1010           
  i        6.22 %        1000           
  r        5.56 %        0101           
  u        4.68 %        0010           
  l        3.76 %        11010          
  m        3.24 %        10010          
  g        2.73 %        01000          
  h        2.52 %        00111          
  c        2.47 %        111111         
  d        2.21 %        111110         
  p        2.16 %        111101         
  y        1.95 %        111100         
  f        1.90 %        110110         
  b        1.75 %        100111         
  v        1.34 %        001101         
  w        1.34 %        010010         
  k        0.77 %        0100111        
  I        0.41 %        10011010       
  S        0.41 %        10011011       
  T        0.41 %        11011100       
  J        0.31 %        00110011       
  Y        0.31 %        00110010       
  1        0.26 %        110111111      
  4        0.26 %        00110001       
  5        0.26 %        110111100      
  A        0.26 %        110111101      
  C        0.26 %        110111011      
  E        0.26 %        110111110      
  0        0.21 %        100110011      
  N        0.21 %        100110000      
  2        0.15 %        010011011      
  6        0.15 %        010011000      
  7        0.15 %        001100001      
  B        0.15 %        010011010      
  V        0.15 %        010011001      
  8        0.10 %        1001100010     
  G        0.10 %        1101110100     
  L        0.10 %        1101110101     
  j        0.10 %        1001100011     
  3        0.05 %        10011001010    
  D        0.05 %        10011001011    
  K        0.05 %        0011000000     
  U        0.05 %        0011000001     
  q        0.05 %        10011001000    
  x        0.05 %        10011001001    

Total Length: 8750
